run,luminosityBlock,event,HLT_IsoMu24_eta2p1,HLT_IsoMu24,HLT_IsoMu17_eta2p1_LooseIsoPFTau20,PV_npvs,PV_x,PV_y,PV_z,nMuon,nElectron,nTau,nPhoton,MET_pt,MET_phi,MET_sumet,MET_significance,MET_CovXX,MET_CovXY,MET_CovYY,nJet,Muon_pt,Muon_eta,Muon_phi,Muon_mass,Muon_charge,Muon_pfRelIso03_all,Muon_pfRelIso04_all,Muon_tightId,Muon_softId,Muon_dxy,Muon_dxyErr,Muon_dz,Muon_dzErr,Muon_jetIdx,Muon_genPartIdx,Electron_pt,Electron_eta,Electron_phi,Electron_mass,Electron_charge,Electron_pfRelIso03_all,Electron_dxy,Electron_dxyErr,Electron_dz,Electron_dzErr,Electron_cutBasedId,Electron_pfId,Electron_jetIdx,Electron_genPartIdx,Tau_pt,Tau_eta,Tau_phi,Tau_mass,Tau_charge,Tau_decayMode,Tau_relIso_all,Tau_jetIdx,Tau_genPartIdx,Tau_idDecayMode,Tau_idIsoRaw,Tau_idIsoVLoose,Tau_idIsoLoose,Tau_idIsoMedium,Tau_idIsoTight,Tau_idAntiEleLoose,Tau_idAntiEleMedium,Tau_idAntiEleTight,Tau_idAntiMuLoose,Tau_idAntiMuMedium,Tau_idAntiMuTight,Photon_pt,Photon_eta,Photon_phi,Photon_mass,Photon_charge,Photon_pfRelIso03_all,Photon_jetIdx,Photon_genPartIdx,Jet_pt,Jet_eta,Jet_phi,Jet_mass,Jet_puId,Jet_btag
195916,64,62627803,true,true,false,14,0.073223494,0.06324066,-4.0392814,1,0,1,0,32.905495,1.5699795,627.87665,5.2631083,187.54095,7.752798,206.03514,0,{30.2788143157959},{1.8855074644088745},{-1.5837931632995605},{0.10565836727619171},{-1},{0.0},{0.051406681537628174},{True},{True},{0.0004810477839782834},{0.0013688515173271298},{-0.0023954911157488823},{0.00560498284175992},{-1},{-1},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{30.2788143157959},{1.8855074644088745},{-1.5837931632995605},{0.10570000112056732},{-1},{0},{0.08453482389450073},{-1},{-1},{True},{2.5596141815185547},{True},{False},{False},{False},{True},{True},{False},{False},{False},{False},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
195916,64,62656715,false,true,false,12,0.071468376,0.063859574,-0.26441383,2,0,1,0,44.242565,-1.5955989,570.99524,10.948554,153.5162,4.403189,178.67207,0,"{37.8321418762207,3.598215103149414}","{-2.1924664974212646,1.5869550704956055}","{1.6173878908157349,-1.803821325302124}","{0.10565836727619171,0.10565836727619171}","{1,1}","{0.0,-999.0}","{0.0,-999.0}","{True,False}","{True,False}","{0.0025594509206712246,-999.0}","{0.002379628363996744,-999.0}","{0.00022214814089238644,-999.0}","{0.0057498859241604805,-999.0}","{-1,-1}","{-1,-1}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{37.8321418762207},{-2.1924664974212646},{1.6173878908157349},{0.10570000112056732},{1},{0},{0.02237476222217083},{-1},{-1},{True},{0.8464851975440979},{True},{True},{True},{False},{True},{True},{False},{False},{False},{False},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
195916,64,62666299,false,false,false,9,0.074301906,0.06393548,4.9383187,1,0,1,0,35.971214,2.6957865,424.19098,10.293954,121.42294,-0.6086291,145.50893,2,{22.57512664794922},{2.001372814178467},{1.4144123792648315},{0.10565836727619171},{-1},{0.17831091582775116},{0.3352038264274597},{False},{True},{-999.0},{-999.0},{-999.0},{-999.0},{-1},{-1},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{22.57512664794922},{2.001372814178467},{1.4144123792648315},{0.10570000112056732},{-1},{0},{0.23059876263141632},{-1},{-1},{True},{3.282508134841919},{False},{False},{False},{False},{True},{True},{False},{False},{False},{False},{},{},{},{},{},{},{},{},"{20.873069763183594,15.548150062561035}","{-1.9373502731323242,1.2620737552642822}","{-1.2673330307006836,-2.851724624633789}","{4.0946946144104,3.3143129348754883}","{True,True}","{0.04657603055238724,0.2311549335718155}"
195916,64,62649259,true,true,false,15,0.071221694,0.065512076,1.5792704,2,0,3,0,17.759775,-2.5932724,769.6629,1.2483234,245.18779,16.282286,219.6647,2,"{47.47068786621094,3.0620346069335938}","{0.17458848655223846,1.8356982469558716}","{-2.5566163063049316,2.944962739944458}","{0.10565836727619171,0.10565836727619171}","{-1,1}","{0.0,-999.0}","{0.0,-999.0}","{True,False}","{True,False}","{-0.0005070559564046562,-999.0}","{0.0008508834871463478,-999.0}","{-0.0010140709346160293,-999.0}","{0.0038655742537230253,-999.0}","{-1,-1}","{-1,-1}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},"{47.47068786621094,21.49394989013672,26.72060775756836}","{0.17458848655223846,-1.976709008216858,3.1109778881073}","{-2.5566163063049316,0.5182716846466064,0.17561830580234528}","{0.10570000112056732,1.017348051071167,6.4510393142700195}","{-1,1,0}","{0,10,-1}","{0.0,0.2226397693157196,nan}","{-1,-1,-1}","{-1,-1,-1}","{True,True,False}","{0.0,2.878819465637207,0.0}","{True,True,False}","{True,False,False}","{True,False,False}","{True,False,False}","{True,True,False}","{True,True,False}","{False,True,False}","{False,True,True}","{False,True,True}","{False,True,True}",{},{},{},{},{},{},{},{},"{39.76813888549805,22.423458099365234}","{-2.0185911655426025,3.1016268730163574}","{0.5182583928108215,0.1855158507823944}","{6.744256496429443,5.036777973175049}","{True,True}","{0.03988896682858467,-10.0}"
195916,64,62648443,true,true,false,16,0.07125054,0.061092556,-3.834583,1,0,3,0,22.11329,-2.815382,926.3135,1.7971989,269.82608,3.2663746,273.00516,0,{29.856552124023438},{-1.4316859245300293},{-1.1182292699813843},{0.10565836727619171},{-1},{0.0},{0.029404902830719948},{True},{True},{9.00131490197964e-05},{0.0018348420271649957},{-0.004017284139990807},{0.004544480238109827},{-1},{-1},{},{},{},{},{},{},{},{},{},{},{},{},{},{},"{29.856552124023438,15.868048667907715,16.5277042388916}","{-1.4316859245300293,-3.065574884414673,-3.5990560054779053}","{-1.1182292699813843,0.8114165663719177,-1.0879173278808594}","{0.10570000112056732,4.778947353363037,5.235901355743408}","{-1,0,0}","{0,-1,-1}","{0.0,nan,nan}","{-1,-1,-1}","{-1,-1,-1}","{True,False,False}","{0.0,0.0,0.0}","{True,False,False}","{True,False,False}","{True,False,False}","{True,False,False}","{True,False,False}","{True,False,False}","{False,False,False}","{False,True,True}","{False,True,True}","{False,True,True}",{},{},{},{},{},{},{},{},{},{},{},{},{},{}
195916,64,62707627,true,true,false,12,0.0736282,0.06367008,8.750229,1,0,1,0,49.750877,1.939214,505.80066,17.45621,150.71056,-2.7071798,138.65848,0,{29.820392608642578},{1.4437028169631958},{-0.2960420846939087},{0.10565836727619171},{1},{0.0},{0.026828577741980553},{True},{True},{-0.0005461792461574078},{0.0013122266391292214},{-0.00229324446991086},{0.003993097692728043},{-1},{-1},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{29.820392608642578},{1.4437028169631958},{-0.2960420846939087},{0.10570000112056732},{1},{0},{0.01947920396924019},{-1},{-1},{True},{0.0},{True},{True},{True},{True},{True},{False},{False},{False},{False},{False},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
195916,64,62652139,false,false,false,17,0.071964525,0.06310032,-1.6962899,2,0,5,2,22.42509,1.0647435,1239.9742,1.9171411,453.34103,-165.4295,396.05432,4,"{67.14860534667969,7.940986633300781}","{0.279183566570282,0.19076332449913025}","{-0.6254616975784302,-0.8724114894866943}","{0.10565836727619171,0.10565836727619171}","{1,-1}","{0.6418659090995789,-999.0}","{0.6738554239273071,-999.0}","{True,False}","{True,False}","{0.002423767000436783,-999.0}","{0.001389844692312181,-999.0}","{0.013548494316637516,-999.0}","{0.007046992424875498,-999.0}","{-1,-1}","{-1,-1}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},"{34.14997482299805,34.73182678222656,83.15869140625,16.36687660217285,15.231090545654297}","{-0.9804623126983643,0.08107645809650421,0.3833349347114563,-3.5720250606536865,3.518874406814575}","{2.7806179523468018,2.196216583251953,-0.6213224530220032,-1.882173776626587,-0.4500991106033325}","{0.7461273670196533,1.3137552738189697,16.419036865234375,5.1395487785339355,4.683085918426514}","{-1,-1,-1,0,0}","{1,10,10,-1,-1}","{1.276148796081543,1.5823307037353516,0.7731298208236694,nan,nan}","{-1,-1,-1,-1,-1}","{-1,-1,-1,-1,-1}","{True,True,False,False,False}","{37.42121887207031,41.24531936645508,0.0,0.0,0.0}","{False,False,False,False,False}","{False,False,False,False,False}","{False,False,False,False,False}","{False,False,False,False,False}","{True,True,True,False,False}","{True,True,True,False,False}","{True,True,True,False,False}","{True,True,False,True,True}","{True,True,False,True,True}","{True,True,False,True,True}","{17.313488006591797,10.468294143676758}","{0.7738420963287354,0.32341262698173523}","{-0.5666651725769043,-0.577545166015625}","{0.0,1.7881393432617188e-07}","{0,0}","{0.5497936606407166,0.9594187140464783}","{-1,-1}","{-1,-1}","{66.90081787109375,66.19251251220703,62.39612579345703,15.00165843963623}","{0.08891019970178604,-0.9945282340049744,0.5470702648162842,0.439436674118042}","{2.2010583877563477,2.7666635513305664,-0.5782362222671509,-1.5189478397369385}","{8.85347843170166,10.203791618347168,16.966100692749023,5.130282878875732}","{True,True,True,True}","{0.06393040716648102,0.9107047319412231,0.9556546807289124,0.16148528456687927}"
195916,64,62713035,false,false,false,16,0.0713989,0.0641522,0.56068414,2,1,5,3,7.152962,-1.1444932,886.5551,0.21583678,308.1889,11.4916525,234.4381,6,"{28.004697799682617,3.4220664501190186}","{-1.4987713098526,2.372080087661743}","{-0.16486701369285583,-0.8034228086471558}","{0.10565836727619171,0.10565836727619171}","{1,-1}","{0.28025081753730774,-999.0}","{0.41363635659217834,-999.0}","{True,False}","{True,False}","{0.0007820734172128141,-999.0}","{0.0022673835046589375,-999.0}","{0.0020201827865093946,-999.0}","{0.004137999378144741,-999.0}","{-1,-1}","{-1,-1}",{13.347554206848145},{-1.4291207790374756},{-0.09072951227426529},{0.011437119916081429},{-1},{0.9089593291282654},{-0.11364419758319855},{0.016611244529485703},{-0.23981674015522003},{0.012122709304094315},{True},{True},{-1},{-1},"{33.005897521972656,15.025581359863281,15.78573226928711,19.821657180786133,34.154388427734375}","{-1.4991071224212646,-2.917785406112671,-3.5838587284088135,1.8148372173309326,-2.850614309310913}","{-0.16910192370414734,-0.1374872475862503,1.1193506717681885,0.31436216831207275,1.606093406677246}","{0.49489542841911316,4.128609657287598,4.41728401184082,6.797631740570068,7.294625759124756}","{1,0,0,0,0}","{1,-1,-1,-1,-1}","{0.5597406029701233,nan,nan,nan,nan}","{-1,-1,-1,-1,-1}","{-1,-1,-1,-1,-1}","{True,False,False,False,False}","{4.0855536460876465,0.0,0.0,0.0,0.0}","{False,False,False,False,False}","{False,False,False,False,False}","{False,False,False,False,False}","{False,False,False,False,False}","{True,False,False,False,False}","{False,False,False,False,False}","{False,False,False,False,False}","{False,True,True,True,True}","{False,True,True,True,True}","{False,True,True,True,True}","{12.331335067749023,12.243412017822266,10.093978881835938}","{-1.4365533590316772,-2.711449384689331,-1.736849069595337}","{-0.08421866595745087,1.58066987991333,2.8230538368225098}","{4.76837158203125e-07,1.3486991292666062e-06,-5.840038852511498e-07}","{0,0,0}","{0.6900354027748108,0.10762058198451996,0.25789937376976013}","{-1,-1,-1}","{-1,-1,-1}","{26.33247947692871,25.362991333007812,24.818281173706055,17.325252532958984,17.039026260375977,15.541489601135254}","{-2.790640354156494,-1.4746394157409668,1.197466254234314,-1.9219069480895996,2.5377414226531982,-3.554603338241577}","{1.5883491039276123,-0.1453390270471573,-2.6136698722839355,2.7786779403686523,2.5060384273529053,1.1218268871307373}","{6.3702921867370605,5.035371780395508,5.626777648925781,4.112353801727295,4.68160343170166,4.281610488891602}","{True,True,True,True,True,True}","{-10.0,0.07093185931444168,0.9349865913391113,0.3668670952320099,-1.0,-10.0}"
195916,64,62712379,false,false,false,11,0.07338696,0.063126974,-0.3526646,1,0,5,0,24.16116,1.605969,979.8518,1.3002559,240.46523,59.55139,472.05658,4,{76.98881530761719},{-1.1501693725585938},{1.258047103881836},{0.10565836727619171},{1},{0.5603947639465332},{0.6609836220741272},{True},{True},{-0.03011450543999672},{0.0019973244052380323},{-0.023531094193458557},{0.0036101103760302067},{-1},{-1},{},{},{},{},{},{},{},{},{},{},{},{},{},{},"{15.244157791137695,39.67778778076172,15.592581748962402,24.071758270263672,18.18012809753418}","{-1.180272102355957,0.8585652709007263,3.5094757080078125,-3.077395439147949,-1.5657334327697754}","{1.255210280418396,-1.52885901927948,2.7953736782073975,-0.22106315195560455,2.3241395950317383}","{0.6968911290168762,0.839000403881073,4.963320732116699,5.89355993270874,6.6544599533081055}","{-1,1,0,0,0}","{1,10,-1,-1,-1}","{0.8197517991065979,1.373695969581604,nan,nan,nan}","{-1,-1,-1,-1,-1}","{-1,-1,-1,-1,-1}","{True,True,False,False,False}","{6.713050842285156,48.832698822021484,0.0,0.0,0.0}","{False,False,False,False,False}","{False,False,False,False,False}","{False,False,False,False,False}","{False,False,False,False,False}","{True,True,False,False,False}","{True,True,False,False,False}","{True,True,False,False,False}","{True,True,True,True,True}","{True,True,True,True,True}","{True,True,True,True,True}",{},{},{},{},{},{},{},{},"{67.77410888671875,39.29521942138672,29.534996032714844,17.253528594970703}","{0.9188174605369568,-1.1364856958389282,2.565078020095825,-3.1023714542388916}","{-1.5846099853515625,1.334628701210022,-2.536219358444214,-0.13709323108196259}","{12.698372840881348,8.069320678710938,6.677501678466797,4.9482574462890625}","{True,True,True,True}","{0.09620319306850433,0.9782575368881226,-1.0,-10.0}"
195916,64,62757275,true,true,false,12,0.077425756,0.061015148,8.300951,2,0,2,0,51.49454,0.13858369,561.5264,15.521468,172.61497,-5.711988,171.2765,1,"{37.9370231628418,3.1465258598327637}","{0.7143128514289856,-2.3244545459747314}","{-2.6429476737976074,-2.0666894912719727}","{0.10565836727619171,0.10565836727619171}","{1,1}","{0.0,-999.0}","{0.0,-999.0}","{True,False}","{True,False}","{-0.0017083490965887904,-999.0}","{0.0012815725058317184,-999.0}","{-0.003382837399840355,-999.0}","{0.0026815307792276144,-999.0}","{-1,-1}","{-1,-1}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},"{37.9370231628418,15.670352935791016}","{0.7143128514289856,0.6788316369056702}","{-2.6429476737976074,-0.47039318084716797}","{0.10570000112056732,5.968005657196045}","{1,0}","{0,-1}","{0.05442378669977188,nan}","{-1,-1}","{-1,-1}","{True,False}","{0.5557478070259094,0.0}","{True,False}","{True,False}","{True,False}","{True,False}","{True,False}","{True,False}","{False,False}","{False,True}","{False,True}","{False,True}",{},{},{},{},{},{},{},{},{16.3524169921875},{-1.4195433855056763},{2.308487892150879},{4.086315631866455},{True},{-1.0}
